stationName,Address,City,State,postalCode,Lat,Long,Charger type,Charger type (legend),stationModel,StationNetworkStatus,LastPortStatus,faultReason,station_label,ports_total,ports_charging,ports_occupied,ports_available,StatusTimestamp,_loaded_at_utc
NYC FLEET / DSNY_Q09-1,132-05 Atlantic Ave,Queens,New York,11418,40.69678452855429,-73.81690297486877,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:31:21Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_PCT47_4,4111 Laconia Ave,The Bronx,New York,10466,40.88748546420784,-73.84752198773155,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:28:17Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_PCT47_5,4111 Laconia Ave,The Bronx,New York,10466,40.88745808970518,-73.8474938245369,Level 2,Level 2,CPF50,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:28:17Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_PCT47_6,4111 Laconia Ave,The Bronx,New York,10466,40.8875133456341,-73.84744219201336,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:28:17Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_SHAFT10-1,1286 US-6,Carmel Hamlet,New York,10512,41.403155458500954,-73.70550487238734,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:31:03Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_GRHMS_1_L3,7892 42,Neversink,New York,12740,41.8457413,-74.54399389999999,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:28:20Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOT_SIREPAIR-1,1893 Richmond Ter,Staten Island,New York,10302,40.6375742292417,-74.12834448343239,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:32:00Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_HILLVW2A-B,100 Central Park Avenue,Yonkers,New York,10704,40.909246567079,-73.870233772826,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:30:37Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_SH18_1_L3,20 Westlake Dr,Valhalla,New York,10595,41.085953,-73.774345,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:26:15Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DSNY_Q09-DCFC1,132-05 Atlantic Ave,Queens,New York,11418,40.6968252,-73.8167635,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,INUSE,NONE,Available,1,0,0,1,2026-02-03T18:26:17Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_SRG_1_L3,521 W 57th St,New York,New York,10019,40.769844,-73.98953,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:30:40Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_6PCT_1_L3,2 Walker Rd,Valhalla,New York,10595,41.0768,-73.812515,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,INUSE,NONE,Charging,1,1,0,0,2026-02-03T18:30:54Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_BEERSTNPCT,21852 NY-10,Walton,New York,13856,42.124424,-75.16277,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:29:18Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOC_OBCC1,16-00 Hazen Street,The Bronx,New York,11370,40.795934874523,-73.889544611571,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:32:08Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOF_STARR#2,31-32 Greenpoint Ave,Queens,New York,11101,40.73463496268522,-73.93668874603271,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,INUSE,NONE,Available,2,0,0,2,2026-02-03T18:22:55Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOF_STARR#1,31-46 Greenpoint Ave,Queens,New York,11101,40.73482,-73.93633,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,INUSE,NONE,Available,2,1,0,1,2026-02-03T18:23:54Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOT_COLUMB-1,166 Columbia St,Brooklyn,New York,11231,40.68634930670135,-74.0022487116394,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:30:32Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOT_COLUMB-2,184 Columbia St,Brooklyn,New York,11231,40.68634117113524,-74.00254911904906,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:30:32Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_CFP_1_L3,3701 Jerome Ave,The Bronx,New York,10467,40.8866,-73.87935,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,INUSE,NONE,Occupied,1,0,1,0,2026-02-03T18:27:46Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOT_448HAMILTON,448 Hamilton Ave,Brooklyn,New York,11232,40.670315,-73.998055,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:26:09Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOE_BXSCIHS-1,750 Baychester Ave Loading dock,The Bronx,New York,10475,40.8741473,-73.8328179,Level 2,Level 2,CPF50,Unreachable,UNKNOWN,NONE,Available,1,0,0,1,2023-12-29T13:21:55Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOC_HAZENLOT4,15 Hazen St,The Bronx,New York,11370,40.79300086705942,-73.8838781253395,Level 2,Level 2,CT4010-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:23:39Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DPRROCKAWAY80S1,350 80 St,Queens,New York,11693,40.591427,-73.80713,Level 2,Level 2 - Solar,CT4010-HD2-GW-LTE,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-09-13T03:52:57Z,2026-02-03T18:33:15.790551+00:00
